"","MouseID","Genotype","gram.values","gest.age","postnatal"
"1",100553,"-/-",18.6,0.5,"n"
"2",100553,"-/-",19.6,7.5,"n"
"3",100553,"-/-",25.6,14.5,"n"
"4",100553,"-/-",25,21.5,"y"
"5",1210,"-/-",17.4,-3.5,"n"
"6",1210,"-/-",18.3,2.5,"n"
"7",1210,"-/-",19.7,9.5,"n"
"8",1210,"-/-",26.7,16.5,"n"
"9",1210,"-/-",24,21.5,"y"
"10",1210,"-/-",24.1,23.5,"y"
"11",1210,"-/-",26.8,30.5,"y"
"12",1210,"-/-",27.7,37.5,"y"
"13",1213,"+/+",17.1,-4.5,"n"
"14",1213,"+/+",18.1,2.5,"n"
"15",1213,"+/+",20.9,9.5,"n"
"16",1213,"+/+",26.8,16.5,"n"
"17",1213,"+/+",24,21.5,"n"
"18",1213,"+/+",23.9,23.5,"y"
"19",1213,"+/+",25.1,30.5,"y"
"20",1213,"+/+",26.9,37.5,"y"
"21",985,"-/-",20.4,-3.5,"n"
"22",985,"-/-",20.4,-1.5,"n"
"23",985,"-/-",20.4,5.5,"n"
"24",985,"-/-",20.4,8.5,"n"
"25",985,"-/-",24.9,12.5,"n"
"26",985,"-/-",24.9,15.5,"n"
"27",985,"-/-",33.6,22.5,"y"
"28",985,"-/-",24.6,24.5,"y"
"29",985,"-/-",27.2,29.5,"y"
"30",985,"-/-",29.5,36.6,"y"
"31",985,"-/-",28.6,39.5,"y"
"32",995,"-/-",21.2,-3.5,"n"
"33",995,"-/-",21.2,5.5,"n"
"34",995,"-/-",26.4,12.5,"n"
"35",995,"-/-",35.8,19.5,"n"
"36",995,"-/-",24.8,21.5,"y"
"37",995,"-/-",27.8,26.5,"y"
"38",995,"-/-",29,33.5,"y"
"39",995,"-/-",29.3,36.5,"y"
"40",996,"-/-",23.9,-4.5,"n"
"41",996,"-/-",23.9,4.5,"n"
"42",996,"-/-",30.5,11.5,"n"
"43",996,"-/-",28.2,18.5,"y"
"44",996,"-/-",29.4,20.5,"y"
"45",996,"-/-",28.2,25.5,"y"
"46",996,"-/-",30.1,33.5,"y"
"47",996,"-/-",30.5,34.5,"y"
"48",1447,"-/-",20.1,-3.5,"n"
"49",1447,"-/-",20.7,4.5,"n"
"50",1447,"-/-",23.3,11.5,"n"
"51",1447,"-/-",33.1,18.5,"n"
"52",1447,"-/-",25.5,25.5,"y"
"53",1447,"-/-",27.7,32.5,"y"
"54",1447,"-/-",25.7,21.5,"y"
"55",1447,"-/-",28,38.5,"y"
"56",1499,"+/+",22.5,-5.5,"n"
"57",1499,"+/+",24,2.5,"n"
"58",1499,"+/+",25,9.5,"n"
"59",1499,"+/+",35.4,16.5,"n"
"60",1499,"+/+",26.9,19.5,"y"
"61",1499,"+/+",30.3,30.5,"y"
"62",1499,"+/+",28.7,23.5,"y"
"63",1500,"-/-",21.2,-5.5,"n"
"64",1500,"-/-",22.7,2.5,"n"
"65",1500,"-/-",24.6,9.5,"n"
"66",1500,"-/-",35.4,16.5,"n"
"67",1500,"-/-",25.1,18.5,"y"
"68",1500,"-/-",27.9,30.5,"y"
"69",1500,"-/-",27.2,23.5,"y"
"70",1831,"+/+",17.9,-4.5,"n"
"71",1831,"+/+",19.6,3.5,"n"
"72",1831,"+/+",21.5,10.5,"n"
"73",1831,"+/+",27,16.5,"n"
"74",1831,"+/+",28.6,17.5,"n"
"75",1831,"+/+",22.3,20.5,"y"
"76",1831,"+/+",22.9,24.5,"y"
"77",1831,"+/+",24.6,31.5,"y"
"78",1831,"+/+",24.7,37.5,"y"
"79",1833,"+/+",18.7,-4.5,"n"
"80",1833,"+/+",19.8,3.5,"n"
"81",1833,"+/+",22.1,10.5,"n"
"82",1833,"+/+",29.9,17.5,"n"
"83",1833,"+/+",22.3,19.5,"y"
"84",1833,"+/+",24.6,24.5,"y"
"85",1833,"+/+",25.4,34.5,"y"
"86",2086,"+/+",24.1,16.5,"n"
"87",2086,"+/+",20.6,19.5,"y"
"88",2086,"+/+",22.8,35.5,"y"
"89",2086,"+/+",18.8,-4.5,"n"
"90",2086,"+/+",18.5,3.5,"n"
"91",2086,"+/+",20.5,10.5,"n"
"92",2086,"+/+",26.1,17.5,"n"
"93",2086,"+/+",22.2,24.5,"y"
"94",2086,"+/+",23.6,32.5,"y"
"95",2210,"+/+",29.7,16.5,"n"
"96",2210,"+/+",21.4,-1.5,"n"
"97",2210,"+/+",22.7,6.5,"n"
"98",2210,"+/+",28.1,14.5,"n"
"99",2210,"+/+",25.3,21.5,"y"
"100",2210,"+/+",25.6,29.5,"y"
"101",2210,"+/+",28.3,39.5,"y"
"102",2211,"-/-",21.2,-4.5,"n"
"103",2211,"-/-",22.6,3.5,"n"
"104",2211,"-/-",24.7,11.5,"n"
"105",2211,"-/-",27.1,16.5,"n"
"106",2211,"-/-",28.8,17.5,"n"
"107",2211,"-/-",20.4,24.5,"y"
