Wells,ID,time,diet,sex,Raw,Corrected,Concs.,full.conc
A1,464,15,eTRF,male,0.281,0.236,1.82403,5.47209
A2,459,15,AL,female,0.146,0.101,1.07008,3.2102399999999998
A3,474,15,AL,female,0.08,0.035,0.535272,1.605816
A4,474,0,AL,female,0.081,0.036,0.545618,1.636854
A5,464,0,eTRF,male,0.428,0.383,2.46417,7.392510000000001
A6,463,0,AL,female,0.059,0.014,0.273432,0.820296
B1,463,15,AL,female,0.078,0.033,0.514192,1.542576
B2,467,15,eTRF,female,0.054,0.009,0.18452,0.5535599999999999
B3,471,15,AL,female,0.063,0.018,0.33298,0.9989399999999999
B4,453,0,eTRF,male,0.135,0.09,0.994313,2.982939
B5,456,0,AL,male,0.257,0.212,1.70603,5.11809
B6,455,0,eTRF,female,0.076,0.031,0.492554,1.477662
C1,460,15,AL,male,1.224,1.179,4.93528,14.80584
C2,461,15,AL,male,0.208,0.163,1.44737,4.34211
C4,471,0,AL,female,0.049,0.004,0.0454987,0.1364961
C6,465,0,eTRF,male,0.113,0.068,0.830517,2.491551
D1,456,15,AL,male,0.392,0.347,2.31789,6.953669999999999
D2,454,15,eTRF,female,0.077,0.032,0.503446,1.510338
D3,453,15,eTRF,male,0.188,0.143,1.33312,3.9993600000000002
D4,459,0,AL,female,0.055,0.01,0.204206,0.612618
D5,460,0,AL,male,0.637,0.592,3.22615,9.67845
D6,467,0,eTRF,female,0.049,0.004,0.0454987,0.1364961
E1,458,15,AL,female,0.065,0.02,0.36034,1.08102
E2,455,15,eTRF,female,0.133,0.088,0.980147,2.940441
E4,458,0,AL,female,0.053,0.008,0.16341,0.49023
E5,454,0,eTRF,female,0.053,0.008,0.16341,0.49023
E6,466,0,eTRF,female,0.053,0.008,0.16341,0.49023
F1,466,15,eTRF,female,0.067,0.022,0.386451,1.1593529999999999
F2,465,15,eTRF,male,0.242,0.197,1.62961,4.8888300000000005
F3,468,15,AL,male,0.43,0.385,2.47214,7.4164200000000005
F4,462,0,AL,female,0.053,0.008,0.16341,0.49023
F6,452,0,eTRF,male,0.076,0.031,0.492554,1.477662
G2,452,15,eTRF,male,0.118,0.073,0.869429,2.608287
G3,462,15,AL,female,0.046,0.001,NA,NA
G5,468,0,AL,male,0.166,0.121,1.19987,3.59961
G6,469,0,AL,male,0.19,0.145,1.34482,4.034459999999999
H1,468,15,AL,male,0.408,0.363,2.3836,7.1508
H2,473,15,AL,female,0.393,0.348,2.32204,6.96612
H3,461,0,AL,male,0.247,0.202,1.65533,4.96599
H4,470,0,AL,female,0.047,0.002,NA,NA
H5,473,0,AL,female,0.152,0.107,1.11001,3.33003
